iter	RMSE
0	17437.39722
1	16123.41227
2	14991.73679
3	14019.42886
4	13134.57147
5	12341.86875
6	11609.56883
7	11003.01041
8	10439.15736
9	9949.209412
10	9536.546052
11	9146.215274
12	8814.757813
13	8494.903251
14	8188.134326
15	7962.687848
16	7703.476313
17	7440.5529
18	7230.795899
19	7043.228753
20	6849.98889
21	6698.267611
22	6568.329528
23	6442.914236
24	6358.528057
25	6294.821994
26	6214.702558
27	6152.584142
28	6077.08124
29	6002.8343
30	5949.904351
31	5899.075145
32	5847.829785
33	5796.994218
34	5760.346925
35	5718.746413
36	5690.088531
37	5645.181509
38	5614.447782
39	5549.393742
40	5515.793098
41	5488.967343
42	5464.671357
43	5440.354679
44	5394.555294
45	5374.603847
46	5357.231951
47	5331.71008
48	5312.814686
49	5309.90913
50	5295.021474
51	5275.060689
52	5250.011717
53	5221.285469
54	5203.845312
55	5178.226283
56	5136.494226
57	5125.287044
58	5082.867098
59	5053.632635
60	4997.628113
61	4989.121435
62	4966.244685
63	4964.203426
64	4946.958514
65	4944.66318
66	4910.672182
67	4864.170527
68	4824.256775
69	4785.533933
70	4778.492973
71	4765.267683
72	4763.984556
73	4733.570223
74	4722.411001
75	4712.874035
76	4707.053215
77	4687.140106
78	4678.623418
79	4674.730721
80	4666.213414
81	4664.398953
82	4647.432685
83	4630.681405
84	4600.539121
85	4577.142944
86	4564.790102
87	4543.236155
88	4511.311975
89	4487.300683
90	4453.916886
91	4432.688996
92	4412.049878
93	4398.302766
94	4396.983565
95	4375.252922
96	4365.79353
97	4347.750303
98	4336.672105
99	4325.389146
100	4319.891034
101	4309.0152
102	4299.168877
103	4295.451966
104	4288.901653
105	4287.54352
106	4271.440306
107	4263.622042
108	4242.586517
109	4239.12266
110	4221.572677
111	4216.221454
112	4215.165439
113	4207.657041
114	4202.271118
115	4179.715319
116	4175.269597
117	4174.523324
118	4166.934077
119	4162.519009
120	4139.065069
121	4130.796216
122	4126.602387
123	4109.872645
124	4089.615734
125	4083.707998
126	4077.458816
127	4075.590732
128	4070.515143
129	4054.472141
130	4042.941692
131	4032.559787
132	4022.567574
133	4015.337241
134	4008.840724
135	3992.940728
136	3988.976456
137	3978.219179
138	3970.171876
139	3960.782864
140	3951.911376
141	3939.980249
142	3927.965474
143	3927.442149
144	3922.868177
145	3921.528715
146	3912.150717
147	3903.103599
148	3896.699635
149	3895.975356
150	3895.131953
151	3889.555672
152	3887.351476
153	3880.905754
154	3879.671967
155	3870.330266
156	3868.810069
157	3863.466619
158	3858.232021
159	3856.908569
160	3853.646113
161	3844.257736
162	3837.629209
163	3834.673434
164	3814.754255
165	3805.339215
166	3789.060827
167	3784.434878
168	3777.374297
169	3773.842946
170	3763.94413
171	3759.547397
172	3750.100841
173	3747.126154
174	3738.956342
175	3735.196013
176	3734.602361
177	3726.143133
178	3720.768177
179	3719.24818
180	3712.413143
181	3711.195533
182	3706.024339
183	3687.380349
184	3684.416239
185	3673.678773
186	3662.794982
187	3660.342096
188	3656.675364
189	3653.702113
190	3652.424714
191	3645.560193
192	3638.325746
193	3636.639489
194	3629.81496
195	3624.599998
196	3613.747499
197	3609.55486
198	3599.049143
199	3595.358707
200	3584.639272
201	3582.793571
202	3574.845335
203	3573.068037
204	3570.905708
205	3570.211254
206	3561.877726
207	3557.32321
208	3553.871677
209	3549.892789
210	3545.676056
211	3533.787825
212	3530.880086
213	3529.572484
214	3527.783772
215	3527.612194
216	3521.382086
217	3517.612082
218	3514.736291
219	3510.687843
220	3501.244411
221	3497.551
222	3494.107587
223	3492.657408
224	3489.601739
225	3484.473423
226	3472.796123
227	3468.760662
228	3464.762693
229	3462.542144
230	3455.712958
231	3441.045307
232	3439.787891
233	3438.171892
234	3435.306129
235	3432.268307
236	3427.569913
237	3425.902384
238	3423.339212
239	3414.952868
240	3414.489184
241	3413.479559
242	3409.736458
243	3406.02767
244	3392.215903
245	3390.084239
246	3389.038796
247	3386.518763
248	3378.376385
249	3377.967125
250	3377.041892
251	3376.155034
252	3363.779172
253	3358.531746
254	3351.739057
255	3344.219636
256	3342.162464
257	3336.651593
258	3336.144989
259	3332.593727
260	3331.068337
261	3327.032566
262	3326.782494
263	3321.36802
264	3320.852399
265	3319.329825
266	3316.91802
267	3313.533179
268	3305.560964
269	3303.15296
270	3302.679898
271	3301.006957
272	3290.484161
273	3289.547487
274	3282.597112
275	3281.433803
276	3280.972238
277	3277.750108
278	3272.664679
279	3272.02213
280	3271.434435
281	3266.863888
282	3262.614604
283	3253.831808
284	3250.422167
285	3243.931617
286	3243.714767
287	3238.984407
288	3236.364777
289	3230.701738
290	3229.392603
291	3227.83793
292	3224.551595
293	3221.098793
294	3219.227416
295	3217.940457
296	3209.387996
297	3208.519028
298	3203.422894
299	3201.016743
300	3200.310394
301	3196.929523
302	3195.736264
303	3193.805085
304	3189.727872
305	3185.934445
306	3184.44145
307	3183.059851
308	3180.18159
309	3174.862926
310	3167.691927
311	3165.627345
312	3155.521241
313	3154.251774
314	3153.252718
315	3150.555846
316	3141.050684
317	3139.997882
318	3137.588916
319	3135.092224
320	3133.458927
321	3130.479422
322	3122.10994
323	3117.357732
324	3115.881672
325	3109.602793
326	3107.674783
327	3105.248111
328	3100.236676
329	3099.892343
330	3097.557204
331	3096.421686
332	3094.614455
333	3093.932657
334	3092.721855
335	3085.570034
336	3083.887879
337	3082.499987
338	3079.199
339	3075.608907
340	3071.836268
341	3069.276634
342	3066.085726
343	3062.600064
344	3061.759625
345	3057.377389
346	3055.467294
347	3051.957275
348	3049.5907
349	3045.29037
350	3040.969674
351	3039.346988
352	3039.180766
353	3036.424338
354	3035.539089
355	3031.249864
356	3028.170073
357	3023.898419
358	3022.589703
359	3019.882699
360	3015.578436
361	3014.545318
362	3013.344542
363	3012.115268
364	3009.130208
365	3006.521409
366	3003.822608
367	3001.919167
368	2999.231802
369	2998.439279
370	2995.200757
371	2993.746699
372	2992.505055
373	2987.365433
374	2983.730654
375	2979.901753
376	2977.411822
377	2975.422796
378	2965.823208
379	2965.33605
380	2961.176218
381	2955.657604
382	2954.056123
383	2952.334445
384	2951.113618
385	2948.647532
386	2947.827706
387	2947.128285
388	2946.164211
389	2943.249386
390	2942.204801
391	2939.372163
392	2936.860814
393	2934.804305
394	2933.782649
395	2932.133843
396	2930.589459
397	2928.831476
398	2925.379629
399	2918.299076
400	2917.135267
401	2913.959443
402	2911.458009
403	2910.97124
404	2907.453383
405	2903.826601
406	2901.611048
407	2893.992644
408	2891.342326
409	2890.20055
410	2887.87108
411	2886.086752
412	2880.75633
413	2880.312984
414	2879.790448
415	2877.428874
416	2876.065099
417	2875.059109
418	2873.559301
419	2873.380591
420	2870.91517
421	2870.417897
422	2866.294863
423	2863.392747
424	2861.559557
425	2860.787965
426	2859.376966
427	2859.214155
428	2858.588743
429	2858.399588
430	2857.321032
431	2855.091357
432	2854.581117
433	2850.027962
434	2849.747527
435	2848.910319
436	2837.612743
437	2837.262519
438	2837.065428
439	2836.385111
440	2835.309654
441	2834.124303
442	2832.643904
443	2832.502147
444	2830.979693
445	2829.551512
446	2829.25617
447	2827.508195
448	2826.52055
449	2825.384749
450	2824.555766
451	2824.105561
452	2818.884881
453	2816.976027
454	2814.796291
455	2809.451661
456	2808.789894
457	2807.713763
458	2805.057003
459	2804.386996
460	2801.364582
461	2800.894915
462	2799.341864
463	2794.434899
464	2793.816391
465	2789.459759
466	2783.989032
467	2780.1623
468	2778.12581
469	2777.500922
470	2772.539459
471	2772.327574
472	2771.536668
473	2764.759195
474	2761.670662
475	2758.710398
476	2757.927651
477	2757.159315
478	2756.364563
479	2753.776083
480	2751.278888
481	2749.558556
482	2749.037514
483	2747.510395
484	2746.478879
485	2743.189351
486	2742.96821
487	2739.087935
488	2736.159075
489	2732.910306
490	2726.147326
491	2725.336493
492	2723.994319
493	2721.663465
494	2719.924522
495	2718.531074
496	2715.721504
497	2711.817881
498	2706.292454
499	2706.159093
500	2702.369372
501	2701.939723
502	2701.034724
503	2695.192977
504	2692.302036
505	2689.512422
506	2689.14153
507	2687.642229
508	2686.80644
509	2685.799551
510	2681.999843
511	2680.372074
512	2676.091265
513	2674.500082
514	2672.500482
515	2669.131831
516	2663.358109
517	2662.7355
518	2657.290598
519	2656.99321
520	2652.551244
521	2650.565226
522	2648.379998
523	2646.977063
524	2646.589856
525	2645.516386
526	2644.746402
527	2642.942335
528	2641.844844
529	2640.784267
530	2639.69763
531	2638.336249
532	2637.190141
533	2636.471744
534	2634.644865
535	2631.336605
536	2622.6315
537	2618.496292
538	2615.751641
539	2613.790979
540	2610.793527
541	2609.194274
542	2607.892703
543	2607.602594
544	2606.416061
545	2604.216401
546	2602.714051
547	2597.321824
548	2594.854031
549	2593.9111
550	2592.934111
551	2592.239094
552	2592.014323
553	2586.749889
554	2584.476143
555	2581.086762
556	2579.65478
557	2578.629904
558	2575.224493
559	2573.370697
560	2573.295427
561	2570.171145
562	2569.85566
563	2566.646236
564	2564.517948
565	2561.166965
566	2558.898067
567	2556.847258
568	2556.670857
569	2556.108746
570	2553.838607
571	2553.235585
572	2552.305201
573	2550.680811
574	2544.423394
575	2543.294942
576	2537.168674
577	2536.326248
578	2535.413925
579	2535.072808
580	2533.646834
581	2533.006006
582	2526.704597
583	2525.492305
584	2521.851157
585	2521.066434
586	2519.655665
587	2519.116677
588	2518.159652
589	2517.26364
590	2516.284963
591	2507.821806
592	2505.41918
593	2503.097039
594	2501.364845
595	2500.833509
596	2500.475928
597	2498.880361
598	2497.925366
599	2495.2198
600	2492.466619
601	2491.499467
602	2488.257687
603	2487.593052
604	2487.412101
605	2485.583202
606	2485.462836
607	2484.28074
608	2482.873634
609	2480.011494
610	2479.861574
611	2474.280747
612	2471.676171
613	2470.51982
614	2469.52182
615	2465.702896
616	2465.570337
617	2464.855029
618	2463.182929
619	2453.219468
620	2452.267184
621	2449.773685
622	2447.989501
623	2443.660075
624	2442.58185
625	2442.044121
626	2436.948434
627	2436.411663
628	2433.356718
629	2430.553435
630	2429.820436
631	2428.261707
632	2428.033081
633	2427.885046
634	2426.761917
635	2424.571682
636	2424.135034
637	2423.805944
638	2423.188032
639	2422.724403
640	2421.059572
641	2420.29208
642	2418.753237
643	2418.382509
644	2415.390444
645	2413.722252
646	2413.172509
647	2410.162111
648	2409.138541
649	2408.373043
650	2408.121387
651	2407.873262
652	2400.407256
653	2396.630579
654	2396.156774
655	2393.993983
656	2393.053738
657	2390.562477
658	2388.322211
659	2386.380638
660	2385.688601
661	2385.25184
662	2376.641411
663	2375.819958
664	2373.792032
665	2365.416924
666	2363.457301
667	2361.008927
668	2360.897362
669	2359.408716
670	2356.977259
671	2356.4137
672	2355.807589
673	2350.599561
674	2349.178763
675	2346.773673
676	2345.8374
677	2341.434769
678	2340.387697
679	2339.701982
680	2339.034613
681	2337.790683
682	2336.723361
683	2335.813706
684	2333.189306
685	2332.30126
686	2331.972243
687	2327.883504
688	2326.775504
689	2326.272187
690	2322.353825
691	2321.394983
692	2321.30534
693	2321.053743
694	2320.742432
695	2320.074213
696	2317.867
697	2317.228284
698	2316.812864
699	2314.827609
700	2313.752251
701	2312.32722
702	2311.67918
703	2310.067472
704	2308.901054
705	2308.48252
706	2305.896136
707	2305.512313
708	2302.88273
709	2301.605348
710	2299.152867
711	2298.330623
712	2297.11712
713	2296.116128
714	2291.41956
715	2287.26534
716	2286.447351
717	2285.777689
718	2285.344627
719	2282.773823
720	2280.860961
721	2280.150353
722	2277.512319
723	2276.419549
724	2275.281183
725	2274.57234
726	2273.865401
727	2273.27582
728	2272.08473
729	2271.432047
730	2270.623112
731	2268.560947
732	2267.68202
733	2266.326388
734	2262.852228
735	2260.693646
736	2260.455278
737	2258.803283
738	2258.628441
739	2252.912808
740	2251.2876
741	2249.931941
742	2249.156647
