iter	Passed	Remaining
0	139	139734
1	193	96582
2	261	86959
3	350	87333
4	398	79229
5	488	80975
6	502	71238
7	554	68774
8	585	64484
9	598	59269
10	637	57356
11	657	54098
12	674	51174
13	687	48437
14	696	45758
15	713	43878
16	729	42156
17	743	40566
18	757	39133
19	782	38363
20	802	37406
21	819	36416
22	834	35441
23	899	36585
24	1005	39228
25	1016	38084
26	1027	37037
27	1051	36515
28	1072	35911
29	1084	35056
30	1094	34223
31	1110	33592
32	1121	32863
33	1145	32555
34	1165	32146
35	1180	31602
36	1193	31075
37	1207	30576
38	1218	30020
39	1229	29506
40	1240	29010
41	1260	28750
42	1270	28272
43	1281	27839
44	1317	27960
45	1333	27645
46	1345	27286
47	1359	26959
48	1372	26630
49	1381	26240
50	1392	25919
51	1404	25613
52	1413	25249
53	1426	24986
54	1470	25265
55	1497	25245
56	1507	24933
57	1517	24650
58	1538	24537
59	1586	24858
60	1598	24611
61	1606	24297
62	1618	24078
63	1628	23817
64	1636	23533
65	1643	23260
66	1662	23144
67	1673	22938
68	1688	22777
69	1701	22603
70	1715	22447
71	1730	22308
72	1738	22077
73	1755	21965
74	1769	21827
75	1784	21691
76	1806	21654
77	1826	21585
78	1852	21597
79	1883	21658
80	1898	21534
81	1908	21365
82	1915	21167
83	1925	20996
84	1943	20925
85	1958	20813
86	1966	20641
87	1981	20535
88	1994	20413
89	2008	20310
90	2022	20200
91	2031	20051
92	2041	19910
93	2054	19798
94	2062	19649
95	2074	19533
96	2083	19395
97	2097	19309
98	2107	19177
99	2115	19036
100	2122	18893
101	2132	18774
102	2146	18697
103	2160	18612
104	2170	18500
105	2179	18382
106	2190	18283
107	2198	18159
108	2207	18043
109	2216	17932
110	2227	17843
111	2240	17766
112	2249	17659
113	2261	17573
114	2270	17471
115	2278	17363
116	2292	17301
117	2308	17257
118	2323	17199
119	2334	17122
120	2351	17082
121	2372	17074
122	2396	17089
123	2430	17166
124	2446	17123
125	2466	17105
126	2487	17096
127	2495	17003
128	2505	16917
129	2513	16823
130	2524	16748
131	2546	16742
132	2560	16692
133	2570	16613
134	2581	16541
135	2591	16462
136	2601	16388
137	2614	16328
138	2627	16276
139	2637	16201
140	2658	16198
141	2672	16146
142	2693	16142
143	2713	16132
144	2725	16073
145	2740	16029
146	2750	15962
147	2760	15891
148	2769	15820
149	2779	15752
150	2790	15688
151	2805	15651
152	2814	15581
153	2829	15543
154	2846	15518
155	2853	15440
156	2868	15401
157	2878	15340
158	2888	15280
159	2900	15225
160	2918	15208
161	2927	15144
162	2939	15094
163	2954	15060
164	2971	15038
165	2983	14990
166	2998	14957
167	3012	14920
168	3022	14859
169	3040	14844
170	3050	14790
171	3072	14790
172	3085	14749
173	3097	14703
174	3104	14635
175	3111	14569
176	3119	14505
177	3129	14450
178	3137	14391
179	3170	14444
180	3180	14390
181	3194	14358
182	3207	14321
183	3218	14273
184	3226	14213
185	3244	14201
186	3256	14156
187	3265	14103
188	3273	14047
189	3280	13986
190	3290	13939
191	3304	13906
192	3313	13853
193	3320	13793
194	3332	13756
195	3348	13733
196	3360	13698
197	3368	13643
198	3383	13617
199	3398	13595
200	3412	13566
201	3425	13531
202	3460	13588
203	3477	13570
204	3486	13519
205	3503	13503
206	3517	13475
207	3525	13425
208	3533	13373
209	3545	13337
210	3560	13312
211	3576	13295
212	3592	13272
213	3617	13287
214	3633	13266
215	3646	13234
216	3662	13216
217	3685	13218
218	3700	13198
219	3713	13166
220	3728	13141
221	3753	13154
222	3774	13153
223	3791	13133
224	3807	13113
225	3820	13085
226	3851	13115
227	3868	13099
228	3894	13111
229	3906	13077
230	3924	13063
231	3936	13030
232	3957	13028
233	3978	13023
234	3986	12976
235	3996	12936
236	4011	12914
237	4022	12880
238	4037	12854
239	4046	12814
240	4054	12768
241	4067	12740
242	4090	12742
243	4100	12706
244	4113	12675
245	4124	12641
246	4133	12602
247	4148	12578
248	4156	12536
249	4165	12496
250	4174	12458
251	4183	12416
252	4206	12420
253	4225	12410
254	4235	12373
255	4243	12333
256	4253	12296
257	4271	12285
258	4282	12252
259	4294	12222
260	4304	12187
261	4314	12152
262	4323	12116
263	4333	12081
264	4342	12045
265	4363	12040
266	4371	12000
267	4378	11960
268	4387	11923
269	4401	11899
270	4409	11862
271	4420	11832
272	4429	11795
273	4439	11764
274	4450	11733
275	4460	11701
276	4469	11666
277	4480	11636
278	4492	11608
279	4500	11571
280	4508	11535
281	4519	11506
282	4527	11471
283	4535	11433
284	4542	11396
285	4552	11365
286	4560	11329
287	4570	11298
288	4581	11270
289	4588	11234
290	4600	11207
291	4615	11191
292	4633	11179
293	4642	11147
294	4650	11113
295	4660	11085
296	4668	11050
297	4678	11020
298	4687	10990
299	4698	10963
300	4710	10939
301	4722	10914
302	4731	10884
303	4741	10854
304	4750	10824
305	4768	10814
306	4779	10788
307	4791	10764
308	4799	10733
309	4810	10707
310	4822	10684
311	4831	10654
312	4841	10626
313	4853	10604
314	4862	10574
315	4870	10542
316	4883	10522
317	4891	10489
318	4900	10461
319	4911	10437
320	4920	10407
321	4930	10382
322	4938	10351
323	4947	10322
324	4955	10292
325	4964	10264
326	4974	10237
327	4982	10208
328	4990	10177
329	4999	10150
330	5010	10127
331	5022	10105
332	5038	10091
333	5049	10068
334	5058	10042
335	5068	10015
336	5076	9986
337	5083	9957
338	5093	9932
339	5104	9908
340	5123	9901
341	5139	9888
342	5160	9885
343	5176	9870
344	5185	9844
345	5198	9826
346	5206	9798
347	5216	9772
348	5227	9750
349	5237	9727
350	5246	9700
351	5256	9677
352	5266	9652
353	5279	9634
354	5291	9614
355	5300	9587
356	5310	9565
357	5317	9536
358	5331	9520
359	5339	9492
360	5350	9470
361	5363	9453
362	5372	9427
363	5380	9400
364	5389	9375
365	5407	9367
366	5414	9339
367	5423	9314
368	5430	9286
369	5440	9262
370	5450	9241
371	5458	9214
372	5471	9197
373	5480	9172
374	5489	9148
375	5498	9124
376	5512	9109
377	5520	9084
378	5530	9062
379	5541	9040
380	5550	9017
381	5560	8995
382	5569	8971
383	5578	8948
384	5587	8926
385	5597	8903
386	5606	8880
387	5615	8857
388	5637	8854
389	5651	8839
390	5663	8821
391	5671	8797
392	5684	8779
393	5693	8757
394	5705	8738
395	5712	8713
396	5720	8689
397	5735	8674
398	5746	8655
399	5754	8631
400	5762	8607
401	5771	8585
402	5780	8563
403	5788	8539
404	5798	8518
405	5805	8494
406	5814	8471
407	5823	8449
408	5833	8429
409	5845	8411
410	5854	8389
411	5862	8366
412	5872	8347
413	5881	8325
414	5890	8303
415	5900	8282
416	5911	8265
417	5924	8249
418	5932	8226
419	5945	8210
420	5954	8188
421	5973	8182
422	5984	8163
423	5995	8145
424	6006	8126
425	6014	8103
426	6024	8084
427	6033	8062
428	6043	8044
429	6051	8022
430	6060	8001
431	6069	7980
432	6079	7960
433	6087	7938
434	6097	7919
435	6107	7901
436	6117	7881
437	6126	7861
438	6137	7843
439	6147	7823
440	6157	7805
441	6167	7785
442	6175	7765
443	6183	7743
444	6192	7723
445	6202	7704
446	6211	7684
447	6221	7666
448	6234	7651
449	6245	7633
450	6256	7615
451	6264	7594
452	6273	7575
453	6283	7556
454	6290	7535
455	6301	7517
456	6310	7498
457	6320	7480
458	6329	7460
459	6346	7450
460	6365	7442
461	6375	7424
462	6385	7405
463	6394	7386
464	6407	7371
465	6416	7352
466	6426	7334
467	6435	7316
468	6443	7295
469	6454	7278
470	6463	7259
471	6473	7241
472	6482	7222
473	6491	7204
474	6501	7185
475	6509	7166
476	6521	7149
477	6531	7133
478	6540	7114
479	6549	7095
480	6557	7075
481	6570	7060
482	6578	7041
483	6594	7030
484	6607	7015
485	6615	6996
486	6624	6978
487	6634	6960
488	6646	6945
489	6656	6928
490	6664	6908
491	6671	6888
492	6678	6868
493	6690	6853
494	6701	6836
495	6710	6819
496	6720	6801
497	6730	6785
498	6740	6767
499	6752	6752
500	6762	6735
501	6772	6719
502	6780	6699
503	6791	6684
504	6799	6664
505	6808	6646
506	6820	6631
507	6829	6614
508	6838	6596
509	6846	6578
510	6856	6560
511	6863	6541
512	6872	6524
513	6882	6507
514	6894	6493
515	6904	6476
516	6914	6459
517	6923	6442
518	6933	6426
519	6943	6408
520	6951	6390
521	6960	6373
522	6969	6356
523	6977	6338
524	6987	6321
525	6995	6304
526	7003	6285
527	7011	6268
528	7021	6251
529	7031	6235
530	7043	6221
531	7061	6212
532	7075	6199
533	7085	6183
534	7098	6170
535	7108	6153
536	7119	6138
537	7127	6120
538	7135	6103
539	7145	6087
540	7157	6072
541	7167	6056
542	7179	6042
543	7187	6024
544	7197	6008
545	7204	5990
546	7215	5975
547	7227	5961
548	7235	5943
549	7244	5927
550	7252	5909
551	7260	5892
552	7270	5876
553	7279	5860
554	7289	5845
555	7299	5829
556	7310	5814
557	7319	5797
558	7329	5781
559	7337	5765
560	7347	5749
561	7354	5732
562	7362	5714
563	7369	5696
564	7379	5681
565	7391	5667
566	7401	5652
567	7410	5636
568	7418	5619
569	7426	5602
570	7434	5585
571	7444	5570
