y_test,y_pred
316065,287204.9515369536
315986,284955.87775242224
306487,290952.3883612474
284754,263151.7416882764
284153,278619.03702381195
269167,251886.64064978258
269089,254184.54733372788
243455,224636.6214938769
241906,217832.1234906152
238181,214132.318990396
235897,228242.0744103464
220109,218468.81623526977
215157,204131.97320981865
214185,205596.20706627832
206541,209466.9057905451
206136,251621.04743480237
204140,262094.47376123274
203271,189531.0035479482
201901,250527.60097062215
198210,284700.5694024836
192800,188368.90543964494
188803,165561.7809087201
187016,170878.87116500494
183742,179634.09869707076
182194,169000.85408186633
180974,247140.7481113117
175431,220807.4507534041
174160,179856.2686110084
173290,187687.6150104809
169362,164990.73725471573
167811,224562.2743669508
164720,162661.36072421708
163743,217721.99754029745
163139,141068.44158371614
160858,154504.7981971204
160616,158207.01899288822
159526,154141.74492596535
157287,125013.57936745073
145126,132740.1012141602
143664,127867.95864168166
141578,124820.70004841904
141375,141164.02304489992
141031,198373.63730636827
139859,141791.3131351993
136949,120836.43232976829
136757,143253.44470608252
136751,107858.20112961634
134860,111938.11484678
134545,140282.047184231
134262,121187.51885878683
129082,120058.51931043476
124776,127056.29616103094
123994,130397.81638366196
121868,136816.34698003472
120569,128162.24862017477
117894,84244.00058623185
117414,140667.89886282786
114314,112418.32435932435
112766,112491.26697773387
112692,110163.12593321846
110338,86948.1764749488
107922,136438.24355158655
106309,90008.9986078402
105643,128951.5173258988
104155,88743.58188572661
104023,114383.72272748275
103243,128700.24133659992
103053,102908.0149133665
102732,135816.30943187478
101293,131851.01628281866
100904,105120.89106664882
100837,130308.54789013641
100341,138118.56455475173
98908,107212.11102208254
97038,84405.3076589904
96775,88628.34474478527
96512,88776.34331778354
96496,96416.57157002913
95831,97551.566016667
95496,82468.53695673811
95419,114650.6808924726
93854,130044.99509572973
93303,202738.60163033544
93265,91970.54716172555
92775,85856.65161833922
92663,91001.64656250436
92075,81321.95026254642
91650,81049.25187053983
91031,91593.0029336251
90933,78874.5736977338
89949,90826.81473179099
89510,100010.18862899434
89108,80262.32597001987
88921,82079.29546072266
88471,79969.83839076743
87563,107161.16212120406
86258,79644.39844158934
85594,82411.19698541742
85498,114902.12230368941
85212,84736.00254434308
84825,75757.48932966686
84068,86553.36420011517
83665,84660.0909793676
83206,76130.86598526935
82812,72463.7289906948
82679,76013.24806171715
82294,89257.7170793738
78352,72285.51379675095
75999,73685.62853904357
75888,70143.54613838228
75725,103707.4426331381
74446,83108.72343590003
72660,87107.83923128447
72161,112390.48406684877
71934,61928.82880593195
71297,72526.20433263955
71185,63949.68350101619
70600,61536.23332270442
70329,58968.08047129682
70045,72685.13170572247
70015,74640.00187320521
69568,57110.167245336335
69536,70438.54750347482
69048,60213.850359106524
68132,65754.17026092071
67816,79542.53337548522
66588,65524.0528127967
66456,62067.20962653885
66033,64098.48298601601
65882,58493.55982524304
65856,67767.71926481392
64485,64126.14743810034
63515,51646.59938911991
62818,66815.66412951691
61750,65907.10199440103
60271,75238.8825477668
60252,56474.52690683648
59640,57700.91899895403
59356,52987.24498615302
59158,72483.26948826482
58845,62959.414461081054
58787,78300.45870876241
58566,57521.776746853764
58053,55388.58127248644
57638,37167.86882492635
57454,52821.96040269602
56628,52230.04857936352
56524,52250.28896439205
56434,53508.461225478684
55468,53936.59000729587
55322,51328.56405471768
55106,57930.02295588544
54639,45807.67384834341
54008,45394.53156176602
53857,55660.64632720568
53836,46069.52513374465
53705,68144.74981243523
52735,41816.1338619076
52731,48030.17553493798
52719,51838.80401959867
52590,49594.35019853364
52511,55208.41344363218
52355,50971.80118460148
51399,48767.174239115106
51167,48321.55667667996
51047,69825.06142459447
50966,51696.466408282715
50911,47077.025605433584
50206,45800.28679197877
47033,44592.85839519457
46983,56292.75263911259
46916,57269.317118180355
46449,44352.22799920242
46244,49085.993378502346
46152,58494.24045769619
46049,47328.49437210787
45977,43639.096681036375
45491,54669.52750388426
45298,40762.99053712009
44729,39187.480652664555
44332,41560.17285224017
44238,58490.6480463837
44018,47265.01028190061
43644,56444.63066716089
43209,40729.92665727356
43013,60702.4703978857
42740,38894.49857999124
42571,39565.85056781127
41972,40856.90779469758
41749,49432.87668483661
41114,54211.911653389085
40825,38076.10427168603
40738,43764.78734266423
40717,40834.88361401705
40499,40191.69756593833
40107,36694.1604753948
40087,47871.33300555212
39943,42787.921446780645
39930,42313.04356771207
39809,38913.820600534695
39225,37734.81009848803
39173,34050.33563977225
39131,41988.44666083205
38561,34768.00103921567
36999,36049.3151307117
36822,50088.72863447737
36696,37832.41152210687
36460,34140.80555480319
36237,43775.36405287416
35762,34567.585815317645
35689,34248.195053830044
35538,34747.66695204173
35130,39625.68112465809
35130,49219.56670285303
35060,34648.06005534022
34634,33686.47205732943
34480,47490.00210170366
34175,37717.9537570451
33938,31840.658640121954
33473,37101.34866201563
33340,33583.298315142354
33008,40255.369323823696
32752,38201.72996213663
32604,44874.394235127904
32164,28879.99187467439
32117,31594.647589579094
31965,28415.5457676212
31908,30946.74359819768
31852,32260.21434296107
31827,32360.326573581595
31807,32749.658929318713
31385,36014.30115264987
31305,44189.53967930133
31112,40372.06179692713
30949,31311.457273606975
30876,24032.818937638614
30861,43325.0431235176
30688,29614.61213834553
30394,37699.272473962876
30323,24816.90258294112
28888,32522.27624522284
28874,27910.33756881741
28535,33044.59460966623
28528,30490.806626805028
28199,33392.522647082245
28087,29242.639316329536
27985,46203.253146143936
27863,13847.27999097872
27856,26791.719513011212
27615,29090.7445839469
27368,25316.70560501558
27307,27492.58384433795
27282,7146.24817567317
26960,36128.194533246045
26898,36057.45483619692
26330,38861.58645327073
25666,24317.13764950035
25627,27574.003424858267
25561,23806.92518171558
25453,22082.42661346011
25153,24501.147307261283
24551,22002.34287670901
24350,28299.6506276149
23894,20413.03197764017
23860,18021.397705424966
23850,30917.772026377854
23797,30464.483836206357
23551,30792.53974085339
23417,22615.27068090104
23293,31958.1816437628
23161,34851.24358296429
23021,23388.07843768146
22928,22219.338665619798
22913,22440.915142637932
22668,22797.12356302008
22572,15018.09404127378
22339,22466.03878389153
22066,23721.328162714544
21826,16792.705819861483
21628,19709.878269201665
21476,28393.71323063969
21413,28710.80995475593
21389,18279.36871086823
21384,14327.771379261289
21303,17258.014395953345
21276,23289.590558019197
21249,22306.170808717696
21191,21763.799226781408
21034,18896.615135228665
20833,27577.546746592336
20700,20192.290775007743
20643,12110.955174853032
20509,17886.627909685038
20482,19632.83350112689
20288,18280.07393899703
20107,19440.956603716546
20083,27733.09884438994
19831,19686.06679071041
19714,20230.397958889833
19466,13768.719633884333
19222,16798.68403593127
19218,15298.514845356915
19068,16721.410733414366
18910,18865.97700080374
18816,12514.053035681227
18811,17083.45871341358
18786,20358.236456222767
18540,17848.345206376976
18440,19192.06722281452
17892,18819.112832384344
17849,16203.004355517558
17574,18837.05751085562
17493,15895.744698040657
17378,19647.110108272154
17377,17724.500614901433
17344,15804.14383007832
17301,20060.02074738714
17107,18246.761243641584
17055,14297.366496650997
16897,16907.646260272137
16775,20936.77551588855
16695,11610.930102325301
16597,14784.757043654989
16552,16992.99163675072
16401,24286.87196539782
16373,12937.214062601412
16311,15890.284590603604
16041,10085.468406589114
15925,11611.656811324881
15911,17979.661907292895
15809,20427.655596382414
15765,15995.57998516703
15685,18297.27476138938
15681,12114.259735055342
15607,12650.595034678066
15571,15691.723759149318
15204,22062.14002715927
15187,13937.099835032604
14998,12719.117681745856
14962,17581.93344622149
14886,14246.858578325377
14811,9914.688092478413
14670,11750.527610943958
14558,13711.918534260238
14552,14549.387207807953
14551,6944.089199201494
14537,12629.957657471958
14431,17537.36734921334
14424,18548.80555383328
14421,18852.147468151277
14406,12510.089849703028
14393,15068.10756905737
14391,13871.770403170256
14383,13052.096081203652
14369,14017.09794949323
14345,14193.722916618088
14165,12639.85245911386
14097,13583.924977090806
14057,13759.941093652802
14029,8663.54848601291
13982,11403.801032057678
13972,12552.588011811855
13953,13697.43934432417
13858,13329.553709083539
13686,19016.57028677943
13636,16429.432923982124
13508,11745.38219858072
13476,11499.785250374847
13404,11666.429128014779
13343,13359.546518022427
13276,13765.2915743775
13075,12987.094879940822
13069,20483.32351247074
13043,14634.018929416083
12943,12917.62041136384
12925,12746.259033229218
12913,12601.08712078866
12834,11868.99158300571
12779,12363.723342395419
12609,12097.843819744172
12562,18800.882476043873
12553,11394.141606408062
12508,19691.8227932567
12347,12767.494093278166
12332,13590.847767913201
12314,10756.77679281069
12280,11497.256731952188
12275,13133.958764503288
12250,15722.108711763356
12240,12301.905666947798
12054,10371.328733351565
12027,11061.865255518185
11999,12197.821595599407
11999,10588.364645754482
11947,12126.881778318533
11925,10367.895076049848
11923,12032.208586199122
11859,8969.764232286816
11746,17003.03985867757
11674,14006.317490300147
11618,11576.339498033958
11578,10654.550992620689
11527,12049.915033068124
11493,14644.431519134123
11477,10578.854979107171
11439,12056.285330605457
11358,8372.230580999136
11325,11667.559290186387
11320,9438.879476087177
11279,15380.810545970817
11230,10033.685160949479
11121,12053.778955366475
10908,13242.5004145469
10896,10236.214746479172
10752,11937.766163689656
10738,9728.74678270697
10732,8819.069499354904
10658,7472.209620001176
10570,9629.21530181214
10541,11258.23631477855
10436,11002.351318748066
10407,9554.088974606651
10210,9916.341133509115
10183,10607.804525861333
10137,10305.370287560843
10132,11352.360842909728
10127,11067.371870253088
10022,10650.67437238914
9816,9545.689263211532
9760,7375.797825073069
9655,9638.982858045496
9647,12279.691335008614
9617,8504.326327166993
9593,8370.29130145445
9550,15002.107082079048
9411,9892.157187338282
9383,11442.84806234912
9334,7602.871055267493
9334,12045.712651324264
9323,13209.323194658413
9185,10194.737031041146
9183,9727.6768404387
9181,6843.534476283968
9165,8827.243594321788
9108,10114.883658838155
9106,7138.772899180707
9090,8277.224191895344
9018,11357.612728840508
8999,9415.73797704515
8993,9033.528725172295
8991,7790.7907532583695
8887,8509.85515191661
8881,9530.425532841991
8821,12205.943129297297
8812,8510.662706069013
8708,11382.257480485356
8694,7789.805011316459
8686,9228.059574376433
8680,7840.844726339083
8668,8354.228800034973
8586,11456.977647805135
8584,11939.89097052624
8493,8345.7585804205
8489,6378.982101071264
8484,10231.333677228271
8438,5484.190303358507
8403,5815.56396828101
8391,10543.276379318862
8357,8359.50329184818
8250,7312.8468697379
8237,7541.093212532777
8209,7502.75801036822
8189,7770.161955110602
8161,11370.358198821006
8044,9173.84456502261
8028,9039.811873038088
7977,4094.888048552281
7880,7928.203216259598
7852,7612.07795023461
7798,8148.754728192098
7779,7545.901678395892
7778,8455.020318255965
7754,8324.540640231688
7714,5676.295522345424
7700,7967.342918332039
7694,10024.602700904283
7683,6945.362510350215
7619,7301.878066661371
7571,8751.568802514115
7567,8368.967527430936
7554,10110.768895422898
7425,8594.861630139812
7370,6351.283253516955
7339,6540.259374148519
7294,8511.553383486233
7265,7961.168871768539
7153,5862.33621666126
7128,8243.650008155651
7128,9129.432942859998
7119,7140.131935119077
7101,6061.3671695776275
7088,7087.848972726134
7087,5649.75398192117
7008,7573.709070934173
6955,6921.351562281998
6950,12168.326153979257
6943,6145.736319352236
6912,7852.195080766729
6866,6690.366556922929
6851,7815.818396490383
6832,9245.230543511998
6806,5543.2607357818815
6798,9085.443448090089
6779,9084.89160166429
6750,5980.292473918654
6731,8309.101902728078
6720,7106.8881473805795
6711,4907.289908091085
6655,6559.118341705268
6651,8227.610281493682
6646,9404.116269593405
6624,6901.067184739053
6605,6342.041142681578
6596,7686.7162048988375
6562,6327.513415191111
6551,9345.40603067402
6541,6079.936987525149
6528,5653.898951366114
6437,5420.322311496839
6374,5434.816575679185
6364,4943.878149886849
6261,6725.292760473974
6202,6541.095099773349
6198,5668.873742957852
6196,6641.705563107323
6164,6854.621291806242
6157,6565.570994229579
6141,6142.545105259109
6031,6274.351151926225
6018,5614.430436181869
6016,5935.147448986626
6009,6102.888865133014
5990,5261.21094053628
5956,8273.119098130757
5930,5920.712690150054
5928,5425.663283034909
5920,5189.247057664877
5902,7387.082388628159
5863,3922.705319962036
5842,3882.388173245292
5833,8009.338566825639
5797,7878.6941332437655
5790,5131.74259761024
5772,7136.208515381006
5771,5854.539697041737
5767,4990.429811831025
5746,2576.8018658770407
5746,5362.701045910571
5735,8390.2871738473
5708,5511.193900541225
5697,5804.70592803997
5696,5399.222979706425
5690,5851.213048238066
5662,5139.340322461646
5649,5232.028982892863
5627,9801.721188874299
5606,9053.996174683269
5587,5513.833635174102
5551,5952.681689542269
5542,5597.220414296893
5540,5920.754517450796
5537,5082.533018490883
5530,7173.0632280918735
5519,6716.841685533087
5515,9571.303601085401
5511,12225.112132813101
5506,5978.152869907247
5480,6717.039370003926
5468,5118.133656239747
5432,5261.377715272866
5422,9233.998966180456
5407,5444.530339191129
5355,4709.204784519116
5337,4560.48403565033
5304,5446.833414509256
5295,7847.07004848517
5290,6945.450251348679
5269,5573.348080821594
5267,4632.408773424579
5242,5007.83020586715
5226,5964.951928524544
5206,4960.914651449691
5112,3027.089770828898
5105,5285.017711070221
5101,6395.834011073315
5080,5057.352381914652
5065,5335.331472720535
5059,5203.624379925297
5051,5574.4509899138775
5045,4503.354048479933
5027,16065.27664619998
5001,4150.94031709859
4999,5488.132789134763
4979,3072.411614531913
4953,6456.25539556844
4943,4695.0899602222735
4936,6561.905423772721
4920,4347.973974667451
4912,4005.0714784532147
4912,5007.8402128580965
4869,4662.823188098411
4860,4459.510804489494
4857,5114.366898291047
4852,4814.576615958005
4837,5395.4680286942385
4828,4390.845735049638
4809,2825.6082147082398
4797,5251.770412043148
4788,5502.443506937081
4770,4290.447254547345
4740,4532.493347366823
4682,6050.035008323034
4668,5234.459826871812
4652,4526.896826552816
4647,5535.665324117279
4639,5120.494992397163
4609,4084.015338465575
4607,3982.5759374814406
4595,3880.3628381993567
4559,3112.8412475328705
4557,3158.021547865349
4542,4308.008606707662
4536,4174.3277198353535
4501,4041.691687151628
4491,3765.9256781185063
4477,2869.194427307005
4462,4304.380151459741
4439,4812.817272639062
4422,1995.2313834135775
4417,5708.056007834085
4412,4432.570812215688
4374,4627.6922392855995
4368,6285.266360342861
4310,4009.398158499691
4307,3748.5429181572626
4307,3897.726341319347
4286,3192.7275527883717
4284,4411.408939859048
4284,4276.368858756799
4278,6236.6795648091675
4255,5238.293793067678
4233,6595.827652586726
4230,3869.5657285272564
4199,3779.029153583031
4196,4408.543773406508
4191,3713.9733837500667
4176,6043.0646213652135
4156,4066.4899112735125
4143,3899.350653103279
4135,3912.0827619911056
4119,3909.6457170531885
4108,4627.6928226582695
4099,4629.778655298785
4082,3181.3048089085923
4068,4358.146187237397
4059,3807.512052535892
4053,4241.254117958346
4040,4356.900526744765
4037,3886.2495144806803
4035,4003.447100774717
4031,5231.000411187934
4018,5802.41148735497
4011,3724.0468009045385
4006,4049.4419045805325
4000,4165.05621876828
3964,6581.351215775576
3956,4247.9737384835835
3948,4374.757615254548
3937,3631.3374598129312
3937,3406.4435062290518
3930,4756.720494513989
3921,4943.080095916658
3904,3777.809836814096
3899,2835.7165914820444
3891,3650.2065760286664
3888,4258.661178470363
3886,3058.703229603102
3882,6208.208309061864
3882,5183.741333897627
3859,5358.065060914434
3845,3732.5893031128353
3834,4027.796390619933
3816,3527.1457563110903
3808,6830.547452187931
3800,6574.8821097758155
3777,3538.327554754481
3764,4318.661897767916
3746,3564.5112905062056
3740,10578.854979107171
3734,3282.6677975453626
3713,3452.380303722824
3707,4379.847362921389
3684,6800.133631597312
3682,3388.487874643162
3678,3742.1794340139772
3677,4275.930992547367
3667,3273.298227152233
3661,4159.580641592992
3652,4146.6088207502125
3651,3290.02314880906
3633,4420.76188158485
3626,4044.372499438175
3624,2761.6645040017806
3618,2696.450487926395
3613,3896.240352474919
3611,2815.9843713668342
3611,3458.36565426053
3600,3479.924989041587
3587,4926.438959203525
3585,3844.7459194872986
3578,3441.041600344375
3576,3711.530257475811
3566,3658.2584532309847
3531,3357.668264072239
3528,5653.771834974638
3520,5061.253704553164
3514,3302.93770138573
3512,3314.953277459107
3512,3388.448776986742
3508,2903.5283958480845
3503,3410.7103278038467
3495,2741.87126816194
3491,3503.619146858211
3486,3917.747826564613
3479,4481.747808080245
3464,3377.378895666079
3457,3527.676020015455
3437,3357.9938728246834
3432,2193.836233247429
3429,6843.665610345963
3425,3170.6423318104457
3420,4207.101660924349
3420,3438.0867437020274
3412,3082.0298703633625
3407,3717.7975629104103
3407,4847.135789672975
3396,3403.5837111550873
3391,4659.448827567045
3383,3295.487979080086
3374,3883.4072328693273
3363,3445.405296188945
3359,4043.7193351765522
3325,2914.0475960022422
3322,3522.724896897581
3320,4722.603093128468
3276,3855.6707811830133
3243,3922.676003062662
3233,3670.0298297880663
3232,3435.9511945877207
3217,3618.3471481806646
3208,2845.5122815306986
3206,2768.438810537939
3204,2591.738492471423
3196,3723.301441856375
3194,2849.527174533325
3194,3213.934138978797
3184,3579.4159014430948
3180,3772.074976057148
3158,3255.8020091842195
3155,1830.6541781255687
3151,2280.8553010481432
3146,4771.512017449117
3142,2747.247968128564
3125,3362.2918276960954
3124,2011.8633377243325
3119,3886.5249828421606
3109,2658.646431177103
3108,4974.724972995475
3107,3019.2005088333194
3101,4318.9421007076035
3098,382.5415137329477
3097,5129.192119659613
3092,3614.128798546718
3081,3528.2451991410526
3078,3410.694740662332
3055,2347.0438660477694
3050,3429.8865745179296
3041,3223.0508564845322
3041,3203.723454553692
3040,3489.106743723699
3037,3287.4009631820827
3020,2521.420522534982
2996,2570.313832140156
2989,3067.751102414856
2982,1788.3855145491693
2974,3016.074695148609
2957,2630.9152013539588
2941,3401.8681953159153
2941,2962.5062483453644
2937,5332.82146590391
2932,3120.682081581553
2923,5442.097276719993
2918,2628.317553950399
2916,3700.983356333107
2911,3179.8899821744076
2907,3123.79808880981
2892,3195.135287303037
2880,2938.35494744438
2880,2547.180150585747
2877,3600.5017993270712
2876,13926.314627167514
2874,2972.616140854875
2871,102908.0149133665
2854,2787.322122651831
2851,2866.773844349056
2848,3686.981981869675
2848,2181.087984090117
2841,4311.60752559008
2839,2873.0093240288998
2830,2907.4021442180842
2816,4149.806238272402
2815,2768.7277200600615
2811,3461.8092416107174
2809,3561.2120661233275
2807,2486.881666533359
2799,5762.846235418292
2783,3161.9200157794503
2780,2616.264033132596
2766,4634.833069723054
2765,4678.734492767938
2751,2876.480638348201
2748,2811.7065901539536
2746,3017.0628667895026
2738,3689.94438850762
2710,2279.0438429183478
2708,2984.8638265773257
2693,2060.8744055806515
2693,3986.919909877973
2678,2835.2371434728084
2644,2212.109475217902
2644,3649.0663236261435
2643,3023.4418607729035
2633,2382.8714759946893
2624,1409.2599612077502
2617,4012.1969636076865
2614,3614.2349211173887
2604,2345.6664278241196
2602,2400.757693566271
2599,3472.1017912426305
2596,2857.9145366449748
2591,2094.2670340557174
2585,3029.5030134411995
2585,2821.883483550682
2580,2480.357932778578
2571,957.7389272689438
2565,3868.7197714386275
2562,4587.073377900975
2562,3823.409057055207
2558,2780.0470347793294
2553,2801.0840879628768
2551,3689.3631174430247
2537,3258.5297999631257
2533,2276.925130619225
2528,2426.1419230208617
2525,4664.21469371219
2524,2087.22465540924
2524,3738.600213749517
2520,2246.2067606599876
2514,3837.4106276676284
2509,2785.238751079989
2500,4475.9094075427465
2491,2449.2418364071586
2475,1109.5870130058488
2475,2313.837268555745
2464,2455.685225712325
2455,2435.483337346575
2447,2482.1344188361295
2447,3391.488323993938
2446,4227.7794158678835
2444,2948.831550816496
2442,2151.873721611881
2433,3533.1137445425065
2429,1809.026021956505
2428,2401.053960679097
2427,1745.4398061694353
2423,3670.594649117
2416,4137.363954874915
2412,2768.4682008082036
2404,2768.930367521834
2404,2827.06007399025
2402,2543.6330838541335
2402,2666.4408006599438
2400,2512.2470419437923
2393,2790.6506587123226
2389,6005.653623689966
2375,2053.8239773545
2369,2279.1134875344196
2369,2410.3802993477043
2366,2311.9308959026584
2364,3600.788871981212
2358,4330.966754811496
2355,3027.666928321671
2354,2389.8506488743537
2353,4420.05940955625
2344,2433.138739612521
2344,2338.9175499478424
2340,4101.762632922163
2331,2331.2910824025594
2331,1989.6210712837299
